1억Date,1억Open,1억High,1억Low,1억Close,1억MA20,1억MA60,1억MA120,10억Date,10억Open,10억High,10억Low,10억Close,10억MA20,10억MA60,10억MA120,100억Date,100억Open,100억High,100억Low,100억Close,100억MA20,100억MA60,100억MA120
2026-02-16 오후 11:35:06,2280,2310,2280,2310,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2310,2280,2309,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2310,2280,2309,NaN,NaN,NaN
2026-02-17 오전 12:06:12,2310,2310,2280,2288,NaN,NaN,NaN,2026-02-17 오전 12:06:12,2308,2308,2280,2288,NaN,NaN,NaN,2026-02-17 오전 12:06:12,2306,2306,2278,2287,NaN,NaN,NaN
2026-02-17 오전 12:37:16,2300,2305,2278,2280,NaN,NaN,NaN,2026-02-17 오전 12:37:16,2300,2304,2278,2280,NaN,NaN,NaN,2026-02-17 오전 12:37:16,2300,2300,2278,2280,NaN,NaN,NaN
2026-02-17 오전 1:08:24,2289,2310,2273,2273,NaN,NaN,NaN,2026-02-17 오전 1:08:24,2289,2310,2273,2273,NaN,NaN,NaN,2026-02-17 오전 1:08:24,2279,2300,2273,2273,NaN,NaN,NaN
2026-02-17 오전 1:39:29,2291,2312,2273,2290,NaN,NaN,NaN,2026-02-17 오전 1:39:29,2291,2312,2273,2290,NaN,NaN,NaN,2026-02-17 오전 1:39:29,2273,2312,2273,2285,NaN,NaN,NaN
2026-02-17 오전 2:10:34,2298,2307,2276,2298,NaN,NaN,NaN,2026-02-17 오전 2:10:34,2296,2307,2276,2296,NaN,NaN,NaN,2026-02-17 오전 2:10:34,2286,2297,2276,2276,NaN,NaN,NaN
2026-02-17 오전 2:41:37,2298,2308,2276,2293,NaN,NaN,NaN,2026-02-17 오전 2:41:37,2295,2300,2276,2277,NaN,NaN,NaN,2026-02-17 오전 2:41:37,2280,2281,2276,2276,NaN,NaN,NaN
2026-02-17 오전 3:12:44,2277,2300,2276,2290,NaN,NaN,NaN,2026-02-17 오전 3:12:44,2277,2300,2276,2290,NaN,NaN,NaN,2026-02-17 오전 3:12:44,2276,2288,2276,2288,NaN,NaN,NaN
2026-02-17 오전 3:43:52,2291,2304,2280,2304,NaN,NaN,NaN,2026-02-17 오전 3:43:52,2290,2296,2280,2280,NaN,NaN,NaN,2026-02-17 오전 3:43:52,2280,2290,2280,2280,NaN,NaN,NaN
2026-02-17 오전 4:14:56,2280,2300,2276,2293,NaN,NaN,NaN,2026-02-17 오전 4:14:56,2280,2295,2276,2293,NaN,NaN,NaN,2026-02-17 오전 4:14:56,2280,2289,2275,2277,NaN,NaN,NaN
2026-02-17 오전 4:46:23,2294,2300,2290,2290,NaN,NaN,NaN,2026-02-17 오전 4:46:23,2293,2301,2290,2290,NaN,NaN,NaN,2026-02-17 오전 4:46:23,2293,2294,2284,2290,NaN,NaN,NaN
2026-02-17 오전 5:17:28,2290,2305,2280,2280,NaN,NaN,NaN,2026-02-17 오전 5:17:28,2290,2302,2280,2280,NaN,NaN,NaN,2026-02-17 오전 5:17:28,2290,2299,2280,2280,NaN,NaN,NaN
2026-02-17 오전 5:48:29,2280,2308,2277,2298,NaN,NaN,NaN,2026-02-17 오전 5:48:29,2280,2306,2277,2298,NaN,NaN,NaN,2026-02-17 오전 5:48:29,2280,2294,2277,2277,NaN,NaN,NaN
2026-02-17 오전 6:19:30,2293,2308,2278,2279,NaN,NaN,NaN,2026-02-17 오전 6:19:30,2293,2308,2278,2279,NaN,NaN,NaN,2026-02-17 오전 6:19:30,2278,2293,2278,2279,NaN,NaN,NaN
2026-02-17 오전 6:50:33,2279,2310,2279,2281,NaN,NaN,NaN,2026-02-17 오전 6:50:33,2279,2310,2279,2281,NaN,NaN,NaN,2026-02-17 오전 6:50:33,2279,2308,2279,2281,NaN,NaN,NaN
2026-02-17 오전 7:21:32,2281,2312,2279,2279,NaN,NaN,NaN,2026-02-17 오전 7:21:32,2281,2312,2279,2279,NaN,NaN,NaN,2026-02-17 오전 7:21:32,2281,2290,2279,2279,NaN,NaN,NaN
2026-02-17 오전 7:52:32,2300,2311,2279,2279,NaN,NaN,NaN,2026-02-17 오전 7:52:32,2301,2311,2279,2279,NaN,NaN,NaN,2026-02-17 오전 7:52:32,2300,2305,2279,2279,NaN,NaN,NaN
2026-02-17 오전 8:23:33,2279,2305,2278,2295,NaN,NaN,NaN,2026-02-17 오전 8:23:33,2279,2305,2278,2295,NaN,NaN,NaN,2026-02-17 오전 8:23:33,2279,2295,2278,2295,NaN,NaN,NaN
2026-02-17 오전 8:54:33,2295,2314,2280,2280,NaN,NaN,NaN,2026-02-17 오전 8:54:33,2295,2314,2280,2280,NaN,NaN,NaN,2026-02-17 오전 8:54:33,2295,2310,2280,2280,NaN,NaN,NaN
2026-02-17 오전 9:25:33,2280,2316,2280,2304,2289.2,NaN,NaN,2026-02-17 오전 9:25:33,2280,2316,2280,2300,2286.85,NaN,NaN,2026-02-17 오전 9:25:33,2280,2310,2280,2286,2282.85,NaN,NaN
2026-02-17 오전 9:56:31,2300,2315,2285,2304,2288.9,NaN,NaN,2026-02-17 오전 9:56:31,2300,2315,2285,2304,2286.6,NaN,NaN,2026-02-17 오전 9:56:31,2286,2315,2285,2304,2282.6,NaN,NaN
2026-02-17 오전 10:27:30,2304,2316,2288,2300,2289.5,NaN,NaN,2026-02-17 오전 10:27:30,2304,2316,2286,2300,2287.2,NaN,NaN,2026-02-17 오전 10:27:30,2304,2304,2286,2287,2282.6,NaN,NaN
2026-02-17 오전 10:58:29,2300,2316,2287,2300,2290.5,NaN,NaN,2026-02-17 오전 10:58:29,2300,2316,2287,2300,2288.2,NaN,NaN,2026-02-17 오전 10:58:29,2287,2315,2287,2300,2283.6,NaN,NaN
2026-02-17 오전 11:29:29,2289,2317,2288,2298,2291.75,NaN,NaN,2026-02-17 오전 11:29:29,2289,2317,2288,2290,2289.05,NaN,NaN,2026-02-17 오전 11:29:29,2288,2312,2288,2290,2284.45,NaN,NaN
2026-02-17 오후 12:00:27,2304,2309,2288,2300,2292.25,NaN,NaN,2026-02-17 오후 12:00:27,2304,2306,2288,2300,2289.55,NaN,NaN,2026-02-17 오후 12:00:27,2290,2294,2288,2289,2284.65,NaN,NaN
2026-02-17 오후 12:31:24,2300,2316,2288,2297,2292.2,NaN,NaN,2026-02-17 오후 12:31:24,2299,2316,2288,2290,2289.25,NaN,NaN,2026-02-17 오후 12:31:24,2289,2315,2288,2288,2285.25,NaN,NaN
2026-02-17 오후 1:02:24,2290,2315,2288,2308,2292.95,NaN,NaN,2026-02-17 오후 1:02:24,2290,2315,2288,2295,2290.15,NaN,NaN,2026-02-17 오후 1:02:24,2288,2305,2288,2291,2286,NaN,NaN
2026-02-17 오후 1:33:23,2295,2318,2288,2310,2293.95,NaN,NaN,2026-02-17 오후 1:33:23,2295,2318,2288,2308,2291.05,NaN,NaN,2026-02-17 오후 1:33:23,2293,2310,2288,2288,2286,NaN,NaN
2026-02-17 오후 2:04:23,2304,2320,2288,2296,2293.55,NaN,NaN,2026-02-17 오후 2:04:23,2304,2320,2288,2301,2292.1,NaN,NaN,2026-02-17 오후 2:04:23,2288,2320,2288,2289,2286.45,NaN,NaN
2026-02-17 오후 2:35:21,2298,2320,2290,2307,2294.25,NaN,NaN,2026-02-17 오후 2:35:21,2296,2320,2290,2307,2292.8,NaN,NaN,2026-02-17 오후 2:35:21,2289,2320,2289,2290,2287.1,NaN,NaN
2026-02-17 오후 3:06:20,2295,2320,2288,2288,2294.15,NaN,NaN,2026-02-17 오후 3:06:20,2295,2320,2288,2288,2292.7,NaN,NaN,2026-02-17 오후 3:06:20,2290,2318,2288,2288,2287,NaN,NaN
2026-02-17 오후 3:37:18,2298,2322,2288,2290,2294.65,NaN,NaN,2026-02-17 오후 3:37:18,2296,2322,2288,2290,2293.2,NaN,NaN,2026-02-17 오후 3:37:18,2288,2320,2288,2290,2287.5,NaN,NaN
2026-02-17 오후 4:08:17,2290,2324,2288,2310,2295.25,NaN,NaN,2026-02-17 오후 4:08:17,2290,2323,2288,2310,2293.8,NaN,NaN,2026-02-17 오후 4:08:17,2290,2320,2288,2304,2288.85,NaN,NaN
