1억Date,1억Open,1억High,1억Low,1억Close,1억MA20,1억MA60,1억MA120,10억Date,10억Open,10억High,10억Low,10억Close,10억MA20,10억MA60,10억MA120,100억Date,100억Open,100억High,100억Low,100억Close,100억MA20,100억MA60,100억MA120
2026-02-16 오후 11:35:06,2280,2312,2273,2298,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2312,2273,2296,NaN,NaN,NaN,2026-02-16 오후 11:35:06,2280,2312,2273,2276,NaN,NaN,NaN
2026-02-17 오전 2:41:37,2298,2308,2276,2280,NaN,NaN,NaN,2026-02-17 오전 2:41:37,2295,2302,2276,2280,NaN,NaN,NaN,2026-02-17 오전 2:41:37,2280,2299,2275,2280,NaN,NaN,NaN
2026-02-17 오전 5:48:29,2280,2312,2277,2295,NaN,NaN,NaN,2026-02-17 오전 5:48:29,2280,2312,2277,2295,NaN,NaN,NaN,2026-02-17 오전 5:48:29,2280,2308,2277,2295,NaN,NaN,NaN
2026-02-17 오전 8:54:33,2295,2317,2280,2298,NaN,NaN,NaN,2026-02-17 오전 8:54:33,2295,2317,2280,2290,NaN,NaN,NaN,2026-02-17 오전 8:54:33,2295,2315,2280,2290,NaN,NaN,NaN
2026-02-17 오후 12:00:27,2304,2320,2288,2307,NaN,NaN,NaN,2026-02-17 오후 12:00:27,2304,2320,2288,2307,NaN,NaN,NaN,2026-02-17 오후 12:00:27,2290,2320,2288,2290,NaN,NaN,NaN
2026-02-17 오후 3:06:20,2295,2324,2285,2288,NaN,NaN,NaN,2026-02-17 오후 3:06:20,2295,2324,2285,2288,NaN,NaN,NaN,2026-02-17 오후 3:06:20,2290,2324,2284,2288,NaN,NaN,NaN
2026-02-17 오후 6:12:13,2300,2309,2270,2309,NaN,NaN,NaN,2026-02-17 오후 6:12:13,2300,2308,2270,2308,NaN,NaN,NaN,2026-02-17 오후 6:12:13,2288,2308,2270,2308,NaN,NaN,NaN
2026-02-17 오후 9:18:09,2303,2310,2274,2282,NaN,NaN,NaN,2026-02-17 오후 9:18:09,2303,2310,2270,2282,NaN,NaN,NaN,2026-02-17 오후 9:18:09,2290,2305,2270,2279,NaN,NaN,NaN
2026-02-18 오전 12:24:13,2283,2304,2270,2271,NaN,NaN,NaN,2026-02-18 오전 12:24:13,2282,2304,2270,2270,NaN,NaN,NaN,2026-02-18 오전 12:24:13,2278,2297,2270,2270,NaN,NaN,NaN
2026-02-18 오전 3:30:19,2271,2308,2267,2277,NaN,NaN,NaN,2026-02-18 오전 3:30:19,2270,2308,2267,2277,NaN,NaN,NaN,2026-02-18 오전 3:30:19,2270,2306,2267,2277,NaN,NaN,NaN
2026-02-18 오전 6:36:23,2277,2309,2272,2272,NaN,NaN,NaN,2026-02-18 오전 6:36:23,2277,2309,2272,2272,NaN,NaN,NaN,2026-02-18 오전 6:36:23,2277,2296,2272,2272,NaN,NaN,NaN
2026-02-18 오전 9:42:30,2272,2300,2267,2277,NaN,NaN,NaN,2026-02-18 오전 9:42:30,2272,2300,2267,2277,NaN,NaN,NaN,2026-02-18 오전 9:42:30,2272,2298,2267,2277,NaN,NaN,NaN
2026-02-18 오후 12:48:44,2280,2299,2268,2279,NaN,NaN,NaN,2026-02-18 오후 12:48:44,2280,2299,2268,2279,NaN,NaN,NaN,2026-02-18 오후 12:48:44,2277,2293,2266,2273,NaN,NaN,NaN
2026-02-18 오후 3:54:48,2280,2294,2250,2257,NaN,NaN,NaN,2026-02-18 오후 3:54:48,2279,2293,2250,2257,NaN,NaN,NaN,2026-02-18 오후 3:54:48,2273,2293,2250,2257,NaN,NaN,NaN
2026-02-18 오후 7:00:22,2257,2264,2231,2249,NaN,NaN,NaN,2026-02-18 오후 7:00:22,2257,2264,2231,2249,NaN,NaN,NaN,2026-02-18 오후 7:00:22,2255,2262,2231,2249,NaN,NaN,NaN
2026-02-18 오후 10:06:54,2244,2276,2240,2244,NaN,NaN,NaN,2026-02-18 오후 10:06:54,2244,2276,2240,2243,NaN,NaN,NaN,2026-02-18 오후 10:06:54,2243,2275,2240,2243,NaN,NaN,NaN
2026-02-19 오전 1:13:57,2244,2277,2242,2260,NaN,NaN,NaN,2026-02-19 오전 1:13:57,2244,2277,2241,2260,NaN,NaN,NaN,2026-02-19 오전 1:13:57,2243,2276,2241,2258,NaN,NaN,NaN
2026-02-19 오전 4:20:46,2243,2278,2243,2255,NaN,NaN,NaN,2026-02-19 오전 4:20:46,2243,2278,2243,2244,NaN,NaN,NaN,2026-02-19 오전 4:20:46,2243,2273,2242,2244,NaN,NaN,NaN
2026-02-19 오전 7:26:50,2250,2278,2243,2261,NaN,NaN,NaN,2026-02-19 오전 7:26:50,2250,2277,2242,2261,NaN,NaN,NaN,2026-02-19 오전 7:26:50,2244,2273,2242,2261,NaN,NaN,NaN
2026-02-19 오전 10:32:45,2261,2282,2240,2282,2277.05,NaN,NaN,2026-02-19 오전 10:32:45,2261,2282,2240,2282,2275.85,NaN,NaN,2026-02-19 오전 10:32:45,2261,2282,2240,2282,2273.45,NaN,NaN
2026-02-19 오후 1:38:46,2272,2284,2255,2263,2275.3,NaN,NaN,2026-02-19 오후 1:38:46,2272,2284,2247,2255,2273.8,NaN,NaN,2026-02-19 오후 1:38:46,2247,2283,2247,2255,2272.4,NaN,NaN
2026-02-19 오후 4:49:46,2261,2297,2253,2280,2275.3,NaN,NaN,2026-02-19 오후 4:49:46,2261,2295,2253,2280,2273.8,NaN,NaN,2026-02-19 오후 4:49:46,2255,2285,2253,2276,2272.2,NaN,NaN
2026-02-19 오후 7:56:09,2280,2298,2255,2280,2274.55,NaN,NaN,2026-02-19 오후 7:56:09,2280,2297,2255,2280,2273.05,NaN,NaN,2026-02-19 오후 7:56:09,2279,2297,2255,2266,2270.75,NaN,NaN
2026-02-19 오후 11:01:58,2292,2298,2256,2280,2273.65,NaN,NaN,2026-02-19 오후 11:01:58,2281,2296,2256,2280,2272.55,NaN,NaN,2026-02-19 오후 11:01:58,2266,2292,2255,2280,2270.25,NaN,NaN
2026-02-20 오전 2:07:47,2280,2423,2275,2286,2272.6,NaN,NaN,2026-02-20 오전 2:07:47,2280,2423,2275,2287,2271.55,NaN,NaN,2026-02-20 오전 2:07:47,2276,2423,2275,2295,2270.5,NaN,NaN
2026-02-20 오전 5:24:07,2287,2299,2270,2287,2272.55,NaN,NaN,2026-02-20 오전 5:24:07,2287,2299,2270,2297,2272,NaN,NaN,2026-02-20 오전 5:24:07,2288,2299,2276,2298,2271,NaN,NaN
2026-02-20 오전 8:28:50,2284,2300,2267,2290,2271.6,NaN,NaN,2026-02-20 오전 8:28:50,2297,2300,2267,2290,2271.1,NaN,NaN,2026-02-20 오전 8:28:50,2298,2300,2267,2292,2270.2,NaN,NaN
2026-02-20 오전 11:34:14,2290,2299,2267,2289,2271.95,NaN,NaN,2026-02-20 오전 11:34:14,2290,2299,2267,2289,2271.45,NaN,NaN,2026-02-20 오전 11:34:14,2295,2299,2275,2298,2271.15,NaN,NaN
2026-02-20 오후 2:38:52,2289,2300,2274,2292,2273,NaN,NaN,2026-02-20 오후 2:38:52,2289,2300,2274,2293,2272.6,NaN,NaN,2026-02-20 오후 2:38:52,2298,2300,2275,2297,2272.5,NaN,NaN
2026-02-20 오후 5:43:41,2300,2310,2278,2295,2273.9,NaN,NaN,2026-02-20 오후 5:43:41,2300,2310,2278,2295,2273.5,NaN,NaN,2026-02-20 오후 5:43:41,2300,2310,2280,2305,2273.9,NaN,NaN
2026-02-20 오후 8:48:29,2291,2310,2276,2300,2275.3,NaN,NaN,2026-02-20 오후 8:48:29,2295,2310,2279,2305,2275.15,NaN,NaN,2026-02-20 오후 8:48:29,2303,2310,2279,2310,2275.8,NaN,NaN
2026-02-20 오후 11:53:53,2310,2328,2285,2318,2277.35,NaN,NaN,2026-02-20 오후 11:53:53,2310,2328,2285,2318,2277.2,NaN,NaN,2026-02-20 오후 11:53:53,2310,2328,2287,2327,2278.3,NaN,NaN
2026-02-21 오전 2:58:47,2315,2328,2287,2326,2279.7,NaN,NaN,2026-02-21 오전 2:58:47,2315,2328,2287,2326,2279.55,NaN,NaN,2026-02-21 오전 2:58:47,2327,2328,2287,2326,2280.95,NaN,NaN
2026-02-21 오전 6:03:33,2326,2326,2284,2300,2281.85,NaN,NaN,2026-02-21 오전 6:03:33,2326,2326,2290,2300,2281.7,NaN,NaN,2026-02-21 오전 6:03:33,2326,2327,2290,2322,2284.2,NaN,NaN
2026-02-21 오전 9:08:18,2300,2327,2294,2300,2284.4,NaN,NaN,2026-02-21 오전 9:08:18,2300,2327,2294,2300,2284.25,NaN,NaN,2026-02-21 오전 9:08:18,2322,2328,2295,2325,2288,NaN,NaN
2026-02-21 오후 12:13:24,2317,2329,2289,2294,2286.9,NaN,NaN,2026-02-21 오후 12:13:24,2325,2329,2290,2295,2286.85,NaN,NaN,2026-02-21 오후 12:13:24,2325,2329,2292,2295,2290.6,NaN,NaN
2026-02-21 오후 3:18:16,2295,2320,2274,2295,2288.65,NaN,NaN,2026-02-21 오후 3:18:16,2295,2320,2274,2295,2288.6,NaN,NaN,2026-02-21 오후 3:18:16,2295,2320,2274,2295,2292.45,NaN,NaN
2026-02-21 오후 6:23:29,2291,2304,2275,2294,2290.6,NaN,NaN,2026-02-21 오후 6:23:29,2291,2304,2277,2294,2291.1,NaN,NaN,2026-02-21 오후 6:23:29,2295,2304,2282,2295,2295,NaN,NaN
2026-02-21 오후 9:28:47,2292,2328,2276,2319,2293.5,NaN,NaN,2026-02-21 오후 9:28:47,2292,2329,2276,2320,2294.05,NaN,NaN,2026-02-21 오후 9:28:47,2295,2329,2286,2320,2297.95,NaN,NaN
2026-02-22 오전 12:34:25,2317,2324,2280,2298,2294.3,NaN,NaN,2026-02-22 오전 12:34:25,2318,2324,2281,2298,2294.85,NaN,NaN,2026-02-22 오전 12:34:25,2320,2325,2281,2306,2299.15,NaN,NaN
2026-02-22 오전 3:39:48,2298,2324,2283,2300,2296.15,NaN,NaN,2026-02-22 오전 3:39:48,2306,2324,2283,2300,2297.1,NaN,NaN,2026-02-22 오전 3:39:48,2306,2324,2290,2300,2301.4,NaN,NaN
2026-02-22 오전 6:45:07,2300,2320,2284,2320,2298.15,NaN,NaN,2026-02-22 오전 6:45:07,2300,2320,2285,2320,2299.1,NaN,NaN,2026-02-22 오전 6:45:07,2300,2320,2292,2320,2303.6,NaN,NaN
2026-02-22 오전 9:50:26,2320,2323,2289,2313,2299.8,NaN,NaN,2026-02-22 오전 9:50:26,2320,2323,2289,2313,2300.75,NaN,NaN,2026-02-22 오전 9:50:26,2320,2323,2289,2313,2305.95,NaN,NaN
2026-02-22 오후 12:55:54,2313,2320,2285,2300,2300.8,NaN,NaN,2026-02-22 오후 12:55:54,2313,2320,2289,2300,2301.75,NaN,NaN,2026-02-22 오후 12:55:54,2313,2320,2290,2300,2306.95,NaN,NaN
2026-02-22 오후 4:01:27,2294,2309,2277,2283,2300.65,NaN,NaN,2026-02-22 오후 4:01:27,2294,2309,2277,2285,2301.65,NaN,NaN,2026-02-22 오후 4:01:27,2294,2310,2277,2290,2306.7,NaN,NaN
2026-02-22 오후 7:06:59,2290,2309,2271,2294,2301,NaN,NaN,2026-02-22 오후 7:06:59,2290,2309,2271,2294,2301.5,NaN,NaN,2026-02-22 오후 7:06:59,2295,2309,2273,2294,2306.5,NaN,NaN
2026-02-22 오후 10:12:29,2290,2310,2273,2305,2301.75,NaN,NaN,2026-02-22 오후 10:12:29,2290,2310,2274,2305,2302.25,NaN,NaN,2026-02-22 오후 10:12:29,2299,2310,2274,2308,2307.3,NaN,NaN
2026-02-23 오전 1:18:03,2295,2310,2276,2301,2302.35,NaN,NaN,2026-02-23 오전 1:18:03,2307,2310,2276,2301,2302.85,NaN,NaN,2026-02-23 오전 1:18:03,2308,2310,2280,2309,2307.85,NaN,NaN
2026-02-23 오전 4:23:37,2301,2309,2275,2294,2302.45,NaN,NaN,2026-02-23 오전 4:23:37,2309,2309,2280,2300,2303.2,NaN,NaN,2026-02-23 오전 4:23:37,2309,2309,2280,2309,2308.45,NaN,NaN
2026-02-23 오전 7:29:11,2300,2309,2272,2284,2301.9,NaN,NaN,2026-02-23 오전 7:29:11,2300,2309,2275,2284,2302.65,NaN,NaN,2026-02-23 오전 7:29:11,2309,2309,2277,2289,2307.65,NaN,NaN
2026-02-23 오전 10:34:52,2289,2308,2275,2295,2301.65,NaN,NaN,2026-02-23 오전 10:34:52,2289,2308,2275,2294,2302.1,NaN,NaN,2026-02-23 오전 10:34:52,2289,2309,2281,2281,2306.2,NaN,NaN
2026-02-23 오후 1:43:29,2294,2304,2281,2298,2300.65,NaN,NaN,2026-02-23 오후 1:43:29,2290,2304,2281,2298,2301.1,NaN,NaN,2026-02-23 오후 1:43:29,2281,2304,2281,2298,2304.75,NaN,NaN
2026-02-23 오후 4:49:49,2285,2307,2277,2306,2299.65,NaN,NaN,2026-02-23 오후 4:49:49,2298,2307,2277,2306,2300.1,NaN,NaN,2026-02-23 오후 4:49:49,2298,2307,2279,2306,2303.75,NaN,NaN
2026-02-23 오후 7:55:39,2298,2307,2284,2296,2299.45,NaN,NaN,2026-02-23 오후 7:55:39,2298,2307,2284,2300,2300.1,NaN,NaN,2026-02-23 오후 7:55:39,2306,2308,2285,2300,2302.65,NaN,NaN
2026-02-23 오후 11:05:00,2296,2308,2285,2296,2299.25,NaN,NaN,2026-02-23 오후 11:05:00,2300,2308,2285,2305,2300.35,NaN,NaN,2026-02-23 오후 11:05:00,2300,2308,2285,2305,2301.65,NaN,NaN
2026-02-24 오전 2:10:25,2305,2306,2282,2294,2299.25,NaN,NaN,2026-02-24 오전 2:10:25,2305,2306,2284,2294,2300.3,NaN,NaN,2026-02-24 오전 2:10:25,2305,2306,2284,2300,2301.9,NaN,NaN
2026-02-24 오전 5:15:36,2293,2305,2285,2305,2299.75,NaN,NaN,2026-02-24 오전 5:15:36,2294,2305,2288,2305,2300.8,NaN,NaN,2026-02-24 오전 5:15:36,2300,2305,2295,2305,2302.4,NaN,NaN
2026-02-24 오전 8:20:54,2305,2308,2281,2291,2299.6,NaN,NaN,2026-02-24 오전 8:20:54,2305,2308,2281,2300,2301.1,NaN,NaN,2026-02-24 오전 8:20:54,2305,2308,2281,2300,2302.65,NaN,NaN
2026-02-24 오전 11:26:27,2300,2309,2282,2290,2298.15,NaN,NaN,2026-02-24 오전 11:26:27,2300,2309,2282,2290,2299.6,NaN,NaN,2026-02-24 오전 11:26:27,2300,2309,2282,2308,2302.05,NaN,NaN
2026-02-24 오후 2:31:57,2305,2310,2284,2288,2297.65,2289.6666666666665,NaN,2026-02-24 오후 2:31:57,2308,2310,2284,2292,2299.3,2290,NaN,2026-02-24 오후 2:31:57,2308,2310,2287,2306,2302.05,2291.55,NaN
2026-02-24 오후 5:37:22,2302,2310,2282,2298,2297.55,2289.6666666666665,NaN,2026-02-24 오후 5:37:22,2305,2310,2282,2298,2299.2,2290.0333333333333,NaN,2026-02-24 오후 5:37:22,2306,2310,2282,2300,2302.05,2291.95,NaN
2026-02-24 오후 8:42:44,2300,2306,2282,2290,2296.05,2289.8333333333335,NaN,2026-02-24 오후 8:42:44,2300,2307,2282,2290,2297.7,2290.2,NaN,2026-02-24 오후 8:42:44,2300,2308,2282,2290,2300.55,2292.116666666667,NaN
2026-02-24 오후 11:48:11,2287,2305,2283,2297,2295.25,2289.866666666667,NaN,2026-02-24 오후 11:48:11,2287,2305,2283,2299,2297,2290.266666666667,NaN,2026-02-24 오후 11:48:11,2290,2305,2283,2305,2300.15,2292.2833333333333,NaN
2026-02-25 오전 2:53:53,2295,2309,2283,2294,2294.95,2289.8,NaN,2026-02-25 오전 2:53:53,2299,2309,2283,2305,2297.25,2290.516666666667,NaN,2026-02-25 오전 2:53:53,2305,2309,2283,2305,2300.4,2292.5333333333333,NaN
2026-02-25 오전 5:59:37,2305,2309,2285,2298,2295.7,2289.65,NaN,2026-02-25 오전 5:59:37,2305,2309,2285,2307,2298.35,2290.516666666667,NaN,2026-02-25 오전 5:59:37,2305,2309,2285,2307,2301.25,2292.8166666666666,NaN
2026-02-25 오전 9:05:07,2296,2310,2285,2295,2295.75,2289.766666666667,NaN,2026-02-25 오전 9:05:07,2307,2310,2285,2295,2298.4,2290.633333333333,NaN,2026-02-25 오전 9:05:07,2307,2310,2292,2306,2301.85,2293.116666666667,NaN
2026-02-25 오후 12:11:21,2300,2309,2283,2307,2295.85,2289.733333333333,NaN,2026-02-25 오후 12:11:21,2300,2309,2283,2307,2298.5,2290.616666666667,NaN,2026-02-25 오후 12:11:21,2306,2309,2283,2309,2301.9,2293.133333333333,NaN
2026-02-25 오후 3:17:04,2288,2310,2282,2300,2295.8,2290.0333333333333,NaN,2026-02-25 오후 3:17:04,2288,2310,2282,2306,2298.75,2291.016666666667,NaN,2026-02-25 오후 3:17:04,2306,2310,2283,2306,2301.75,2293.5833333333335,NaN
2026-02-25 오후 6:22:57,2292,2310,2283,2289,2295.55,2290.3333333333335,NaN,2026-02-25 오후 6:22:57,2306,2310,2283,2292,2298.35,2291.383333333333,NaN,2026-02-25 오후 6:22:57,2306,2310,2283,2300,2301.3,2294.0833333333335,NaN
2026-02-25 오후 9:29:20,2289,2320,2288,2308,2296.75,2290.85,NaN,2026-02-25 오후 9:29:20,2291,2320,2288,2308,2299.55,2291.9,NaN,2026-02-25 오후 9:29:20,2300,2322,2292,2310,2302.35,2294.633333333333,NaN
2026-02-26 오전 12:36:37,2310,2327,2301,2327,2298.35,2291.766666666667,NaN,2026-02-26 오전 12:36:37,2310,2327,2301,2327,2301.2,2292.8166666666666,NaN,2026-02-26 오전 12:36:37,2310,2328,2302,2328,2304.7,2295.5666666666666,NaN
2026-02-26 오전 3:45:51,2327,2334,2296,2310,2298.95,2292.3166666666666,NaN,2026-02-26 오전 3:45:51,2328,2334,2296,2333,2302.95,2293.75,NaN,2026-02-26 오전 3:45:51,2328,2334,2300,2333,2306.45,2296.5,NaN
2026-02-26 오전 6:51:32,2333,2339,2296,2308,2299.05,2292.8,NaN,2026-02-26 오전 6:51:32,2333,2339,2297,2309,2303.1,2294.25,NaN,2026-02-26 오전 6:51:32,2333,2339,2297,2333,2307.8,2297.5,NaN
2026-02-26 오전 9:56:40,2309,2334,2304,2312,2299.85,2293.7166666666667,NaN,2026-02-26 오전 9:56:40,2309,2334,2304,2332,2304.7,2295.5,NaN,2026-02-26 오전 9:56:40,2333,2334,2307,2332,2309.4,2298.75,NaN
2026-02-26 오후 1:01:51,2314,2332,2307,2310,2300.55,2294.733333333333,NaN,2026-02-26 오후 1:01:51,2314,2334,2307,2310,2304.95,2296.516666666667,NaN,2026-02-26 오후 1:01:51,2332,2334,2308,2310,2309.65,2299.766666666667,NaN
2026-02-26 오후 4:07:00,2309,2334,2305,2315,2301.6,2295.9166666666665,NaN,2026-02-26 오후 4:07:00,2309,2334,2306,2315,2306,2297.7166666666667,NaN,2026-02-26 오후 4:07:00,2316,2334,2306,2317,2310.5,2301,NaN
2026-02-26 오후 7:12:58,2315,2340,2315,2333,2303,2297.133333333333,NaN,2026-02-26 오후 7:12:58,2315,2340,2315,2337,2307.6,2299,NaN,2026-02-26 오후 7:12:58,2317,2340,2317,2339,2312.2,2302.35,NaN
